655~659分钟, 40555
650~654分钟, 40547
645~649分钟, 40521
660~664分钟, 40087
640~644分钟, 39926
665~669分钟, 39369
635~639分钟, 38900
670~674分钟, 38045
630~634分钟, 37854
675~679分钟, 37084
625~629分钟, 36621
680~684分钟, 35634
620~624分钟, 34529
685~689分钟, 34190
615~619分钟, 33406
690~694分钟, 32763
610~614分钟, 31030
695~699分钟, 30807
700~704分钟, 29520
605~609分钟, 29144
705~709分钟, 27660
600~604分钟, 27002
710~714分钟, 26151
595~599分钟, 24802
715~719分钟, 24778
720~724分钟, 23382
590~594分钟, 22729
725~729分钟, 21839
585~589分钟, 20928
730~734分钟, 20835
735~739分钟, 19453
580~584分钟, 18938
740~744分钟, 18483
745~749分钟, 17316
575~579分钟, 17064
750~754分钟, 16326
570~574分钟, 15833
755~759分钟, 15674
760~764分钟, 14652
565~569分钟, 14300
765~769分钟, 13756
560~564分钟, 13517
770~774分钟, 13172
775~779分钟, 12704
555~559分钟, 12298
780~784分钟, 11918
785~789分钟, 11541
550~554分钟, 11479
790~794分钟, 10926
545~549分钟, 10680
795~799分钟, 10306
540~544分钟, 9977
800~804分钟, 9916
535~539分钟, 9573
805~809分钟, 9381
530~534分钟, 8993
810~814分钟, 8949
815~819分钟, 8733
525~529分钟, 8493
820~824分钟, 8320
520~524分钟, 8071
825~829分钟, 7811
515~519分钟, 7798
830~834分钟, 7504
510~514分钟, 7417
835~839分钟, 7192
505~509分钟, 7094
195~199分钟, 6924
215~219分钟, 6894
500~504分钟, 6865
190~194分钟, 6854
210~214分钟, 6851
225~229分钟, 6830
205~209分钟, 6819
200~204分钟, 6780
185~189分钟, 6740
840~844分钟, 6728
495~499分钟, 6645
220~224分钟, 6608
230~234分钟, 6607
240~244分钟, 6584
235~239分钟, 6550
245~249分钟, 6520
260~264分钟, 6508
250~254分钟, 6469
480~484分钟, 6417
485~489分钟, 6411
490~494分钟, 6409
845~849分钟, 6351
265~269分钟, 6279
275~279分钟, 6226
255~259分钟, 6176
280~284分钟, 6120
285~289分钟, 6109
850~854分钟, 6092
270~274分钟, 6072
465~469分钟, 6024
475~479分钟, 5936
290~294分钟, 5925
315~319分钟, 5830
295~299分钟, 5816
470~474分钟, 5775
310~314分钟, 5709
300~304分钟, 5708
305~309分钟, 5644
455~459分钟, 5623
460~464分钟, 5611
330~334分钟, 5583
320~324分钟, 5571
335~339分钟, 5565
855~859分钟, 5553
450~454分钟, 5527
445~449分钟, 5519
325~329分钟, 5495
345~349分钟, 5469
355~359分钟, 5455
340~344分钟, 5394
180~184分钟, 5389
440~444分钟, 5364
435~439分钟, 5348
400~404分钟, 5320
420~424分钟, 5310
425~429分钟, 5286
360~364分钟, 5281
350~354分钟, 5280
370~374分钟, 5267
430~434分钟, 5229
405~409分钟, 5218
410~414分钟, 5200
385~389分钟, 5182
860~864分钟, 5145
375~379分钟, 5142
380~384分钟, 5123
415~419分钟, 5120
390~394分钟, 5109
395~399分钟, 5099
365~369分钟, 5068
865~869分钟, 4876
870~874分钟, 4575
875~879分钟, 4165
