94:41->94:33,6432
94:33->94:41,5659
13:35->94:41,4429
94:41->13:35,3642
13:33->94:41,2985
94:31->94:41,2972
13:37->94:41,2494
94:41->13:27,2474
13:33->13:27,2457
94:41->13:33,2416
13:35->13:27,2364
94:41->8:13,2363
13:27->13:33,2301
13:27->94:41,2290
94:41->94:39,2266
94:37->94:41,2187
94:41->94:31,2121
13:27->13:35,2088
94:23->94:41,2049
13:27->94:33,2012
8:13->94:41,1948
8:11->94:41,1911
9:43->95:27,1888
94:41->94:23,1877
94:41->94:37,1862
98:23->98:25,1815
95:27->9:43,1796
98:23->98:27,1771
94:39->94:33,1768
94:33->13:27,1763
6:63->6:45,1759
98:21->98:25,1714
13:39->94:41,1706
94:29->94:41,1686
98:25->98:23,1667
5:23->94:41,1657
94:39->94:41,1655
6:45->6:63,1652
94:41->8:11,1627
5:27->94:41,1617
94:41->5:23,1601
98:21->98:27,1588
6:61->6:45,1565
6:45->6:59,1560
98:27->98:23,1556
97:13->1:24,1529
94:41->94:29,1525
6:45->6:53,1520
94:41->13:39,1513
6:63->6:53,1509
15:61->15:43,1504
10:43->10:37,1493
2:5->2:14,1477
2:10->2:18,1465
6:53->6:63,1458
6:45->6:61,1449
6:59->6:45,1426
4:61->2:1,1411
98:25->98:21,1402
5:21->94:41,1401
6:69->6:45,1399
10:41->10:37,1396
15:43->15:61,1388
2:18->2:14,1376
5:35->5:23,1349
94:41->5:21,1349
6:57->6:45,1345
5:21->5:35,1342
5:35->5:21,1342
6:53->6:59,1328
13:41->94:41,1312
94:33->94:39,1308
13:27->8:13,1289
98:27->98:21,1286
6:59->6:63,1284
5:23->5:35,1274
6:45->6:57,1252
1:25->97:8,1251
6:45->6:69,1249
10:37->10:41,1246
13:23->94:41,1242
6:53->6:45,1238
97:13->1:23,1238
2:1->2:14,1236
94:41->5:27,1235
2:10->2:14,1234
2:14->2:5,1227
1:24->97:11,1227
13:29->13:27,1214
97:11->1:24,1214
5:63->5:53,1212
13:37->13:27,1211
2:18->2:3,1211
9:29->4:61,1206
2:3->2:14,1192
1:25->1:22,1187
90:25->10:37,1185
13:35->13:25,1183
10:33->10:43,1180
10:43->10:33,1173
94:41->13:23,1168
13:27->94:39,1164
10:33->10:41,1161
13:29->94:33,1160
97:8->1:25,1156
6:53->6:61,1152
97:11->1:23,1146
10:41->10:33,1144
13:27->13:29,1144
15:59->15:43,1141
5:21->5:31,1140
5:31->5:21,1138
2:14->2:18,1131
6:43->6:53,1126
1:25->1:23,1120
2:18->2:10,1119
13:33->13:25,1117
9:29->1:23,1112
2:5->2:18,1112
2:14->2:3,1105
6:21->6:45,1104
10:37->10:43,1101
5:23->5:31,1099
6:61->6:53,1097
5:31->5:23,1094
13:35->13:23,1089
94:41->13:25,1084
94:39->13:27,1082
90:23->10:37,1077
2:5->2:3,1075
6:59->6:53,1072
10:43->10:39,1070
6:43->6:63,1070
97:13->1:25,1066
9:29->2:10,1065
5:61->5:53,1060
94:41->13:21,1059
13:35->13:21,1059
96:43->96:41,1059
6:63->6:43,1058
2:18->2:5,1057
13:21->13:35,1042
6:63->6:59,1041
10:43->10:27,1037
13:25->94:41,1035
6:55->6:45,1032
2:10->2:1,1029
5:23->5:39,1025
1:24->1:22,1025
13:21->94:41,1021
10:27->10:43,1019
13:25->13:35,1014
1:25->97:11,1014
6:43->6:59,1011
10:29->10:43,1010
94:41->13:37,1007
2:14->2:1,1007
97:11->1:25,1007
8:9->94:41,1006
13:23->13:35,1003
2:9->2:14,999
13:25->13:33,999
1:24->97:13,998
15:43->15:59,997
1:3->1:8,997
94:31->13:27,996
5:23->5:33,995
97:5->1:23,989
6:45->6:21,986
8:11->8:17,985
94:41->13:41,985
10:43->10:29,983
5:33->5:23,981
8:13->13:27,980
96:27->96:41,980
6:45->6:51,980
1:8->1:3,976
2:5->2:13,966
93:23->93:33,963
13:21->13:33,961
2:1->4:61,961
5:39->5:23,957
89:27->89:31,955
13:23->94:33,954
6:45->6:55,953
13:23->13:33,951
1:23->97:11,949
13:33->13:21,943
97:5->97:8,941
10:27->10:41,940
2:3->2:18,939
13:33->13:23,936
13:43->94:41,932
2:9->2:3,926
10:39->10:43,924
5:21->5:33,920
93:23->93:29,919
93:33->93:39,915
2:14->2:10,914
1:22->1:25,913
